,subarea_name,category_name,sub_category_name,room_count,bathroom_count,parking_count,size (sqrt),property_type,price (RM)
3973,Tanjung Bungah,Apartment / Condominium,Apartment,3,2,1,950,Freehold,328888
3974,Gelugor,Apartment / Condominium,Condominium,3,2,1,1113,Leasehold,528000
3975,Butterworth,Land,Commercial,0,0,0,0.38,Freehold,1980000
3976,Paya Terubong,House,Semi-Detached House,5,2,0,2200,Freehold,1500000
3977,Sungai Ara,House,Bungalow House,4,3,0,2734,Freehold,1500000
3978,Batu Kawan,Commercial Property,Warehouse / Factory,0,0,0,13789,Freehold,5000000
3979,Pulau Tikus,Apartment / Condominium,Apartment,4,3,1,2120,Freehold,1390000
3980,Simpang Ampat,Commercial Property,Office space,0,0,0,1540,Freehold,696255
3981,Jelutong,Commercial Property,Shop lot,0,0,0,800,Freehold,380000
3982,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,800,Freehold,499000
3983,Butterworth,Apartment / Condominium,Apartment,3,2,0,850,Freehold,278000
3984,Bukit Mertajam,House,2-storey Terraced House,5,3,0,2408,Freehold,665000
3985,Butterworth,Apartment / Condominium,Service Residence,4,4,2,2270,Freehold,960000
3986,Alma,Commercial Property,Shop lot,0,0,0,4944,Freehold,2335392
3987,Tanjong Tokong,House,Semi-Detached House,6,7,0,4946,Freehold,3750000
3988,Nibong Tebal,House,Semi-Detached House,3,2,0,2604,Freehold,450000
3989,Juru,Apartment / Condominium,Condominium,3,2,2,1257,Freehold,415000
3990,Juru,Apartment / Condominium,Condominium,3,2,2,1171,Freehold,450000
3991,Butterworth,Apartment / Condominium,Condominium,3,2,3,1260,Freehold,570230
3992,Bukit Mertajam,House,2.5-storey Terraced House,4,3,0,1800,Freehold,420000
3993,Bukit Mertajam,House,Semi-Detached House,4,3,0,2594,Freehold,880000
3994,Alma,House,Semi-Detached House,4,3,0,2640,Freehold,850000
3995,Simpang Ampat,Commercial Property,Warehouse / Factory,0,0,0,6558,Freehold,2215950
3996,Tanjong Tokong,Commercial Property,Shop lot,0,0,0,2300,Freehold,3390000
3997,Balik Pulau,Land,Agricultural,0,0,0,4,Freehold,6900000
3998,Pulau Tikus,Apartment / Condominium,Condominium,3,2,1,1377,Freehold,1200000
3999,Balik Pulau,House,2-storey Terraced House,4,3,0,1800,Freehold,525000
4000,Balik Pulau,House,2-storey Terraced House,4,3,0,1800,Freehold,525000
4001,Gelugor,Apartment / Condominium,Apartment,3,2,2,878,Leasehold,430000
4002,Bukit Mertajam,Commercial Property,Office space,0,0,0,1240,Freehold,210000
4003,Simpang Ampat,House,Semi-Detached House,5,3,0,2064,Freehold,888000
4004,Bukit Mertajam,House,3-storey Terraced House,5,5,0,2850,Freehold,680000
4005,Georgetown,Apartment / Condominium,Condominium,3,2,2,850,Freehold,399008
4006,Ayer Itam,Apartment / Condominium,Apartment,2,2,0,550,Leasehold,175000
4007,Georgetown,Apartment / Condominium,Condominium,3,2,0,850,Freehold,399008
4008,Georgetown,Apartment / Condominium,Condominium,2,1,1,753,Freehold,700000
4009,Alma,House,1-storey Terraced House,3,2,0,1100,Freehold,280000
4010,Valdor,House,1-storey Terraced House,3,2,0,1364,Freehold,450000
4011,Butterworth,Apartment / Condominium,Condominium,4,2,1,1130,Freehold,420000
4012,Butterworth,Apartment / Condominium,Condominium,3,2,2,1313,Freehold,380000
4013,Bukit Mertajam,Apartment / Condominium,Condominium,3,2,2,850,Freehold,388000
4014,Georgetown,Apartment / Condominium,Apartment,4,3,2,2152,Freehold,1250000
4015,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1200,Freehold,600000
