property_type,floor_size,developer,land_size,psf,furnishing,floor_level,tenure_type,built_year,listing_id,listing_time,bedroom_count,bathroom_counr,location,propertyguru_url
Condominium For Sale,1111 sqft,Mah Sing Group Berhad,,RM 675.07 psf,Fully Furnished,High Floor,Freehold,"April, 2016",35950485,2 days ago,2,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/southbay-plaza-residential-suites-for-sale-by-kh-tan-35950485
Apartment For Sale,950 sqft,,,RM 357.89 psf,,,,,35950104,3 days ago,4,2,Bukit Mertajam,https://www.propertyguru.com.my/property-listing/hot-investment-water-park-view-pinang-laguna-perai-peneng-for-sale-by-mohd-idham-bin-mohd-sharif-35950104
Service Residence For Sale,1945 sqft,Sure Commerce Sdn Bhd,,RM 719.79 psf,Fully Furnished,,Freehold,,35111044,3 days ago,4,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-jazz-residence-for-sale-by-sam-khoo-35111044
Apartment For Sale,950 sqft,,,RM 357.89 psf,,,,,35949991,3 days ago,3,2,Bukit Mertajam,https://www.propertyguru.com.my/property-listing/hot-investment-pangsapuri-pinang-laguna-perai-penang-for-sale-by-mohd-idham-bin-mohd-sharif-35949991
Condominium For Sale,883 sqft,,,RM 481.31 psf,,Low Floor,,,35949907,3 days ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/low-density-sea-breeze-tower-condominium-jalan-thomas-bukit-dumbar-penang-for-sale-by-mohd-idham-bin-mohd-sharif-35949907
Condominium For Sale,5155 sqft,Coronation Springs,,RM 698.35 psf,Unfurnished,Middle Floor,Freehold,,35947773,3 days ago,4,4,Tajung Bungah,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-billion-chin-35947773
Apartment For Sale,700 sqft,,,RM 428.57 psf,,,,,35949854,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/renovated-apartment-saujana-heights-teluk-kumbar-bayan-lepas-for-sale-by-mohd-idham-bin-mohd-sharif-35949854
Apartment For Sale,700 sqft,,,RM 314.29 psf,,,,,35949625,3 days ago,3,2,Bukit Mertajam,https://www.propertyguru.com.my/property-listing/hot-investment-kondominium-mutiara-bandar-perda-for-sale-by-mohd-idham-bin-mohd-sharif-35949625
Condominium For Sale,1110 sqft,,,RM 402.52 psf,,Middle Floor,Freehold,,34796374,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/100-loan-ready-unit-free-all-legal-fees-near-bayan-baru-3-1store-room-for-sale-by-ms-goh-34796374
Condominium For Sale,1110 sqft,,,RM 401.80 psf,,,Freehold,,34796605,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/0-downpayment-free-all-legal-fees-floan-pass-can-move-in-for-sale-by-ms-goh-34796605
Condominium For Sale,9512 sqft,Lone Pine Group,,RM 809.50 psf,Unfurnished,Penthouse,Freehold,"November, 2013",27976631,3 days ago,7,6,Tajung Bungah,https://www.propertyguru.com.my/property-listing/1-tanjong-for-sale-by-billy-teh-27976631
Condominium For Sale,6000 sqft,City Associates Group,,RM 533.33 psf,Partially Furnished,High Floor,Freehold,"January, 2007",35435774,3 days ago,6,6,Tajung Bungah,https://www.propertyguru.com.my/property-listing/the-cove-for-sale-by-billy-teh-35435774
Condominium For Sale,6000 sqft,City Associates Group,,RM 830.00 psf,Fully Furnished,High Floor,Freehold,"January, 2007",35247201,3 days ago,4,5,Tajung Bungah,https://www.propertyguru.com.my/property-listing/the-cove-for-sale-by-billy-teh-35247201
Condominium For Sale,4693 sqft,Hunza Group,,RM 852.33 psf,Partially Furnished,Middle Floor,Freehold,"January, 2009",33464377,3 days ago,4,4,Tajung Bungah,https://www.propertyguru.com.my/property-listing/infinity-beachfront-condo-for-sale-by-billy-teh-33464377
Condominium For Sale,1241 sqft,Eastern & Oriental Berhad,,RM 886.38 psf,Partially Furnished,Middle Floor,Freehold,"January, 2019",35941592,3 days ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-hc-lee-35941592
Condominium For Sale,1458 sqft,BSG Property,,RM 733.88 psf,Unfurnished,,Freehold,2019,35946703,3 days ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-marcus-ung-35946703
Apartment For Sale,703 sqft,Aspen,,RM 497.87 psf,,,Freehold,,35926688,3 days ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/versa-junior-apartment-for-sale-by-carmen-teh-35926688
Apartment For Sale,730 sqft,Aspen,,RM 471.23 psf,,,Freehold,2023,34692771,3 days ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-edwin-ong-34692771
Condominium For Sale,4800 sqft,CP Group,,RM 625.00 psf,Fully Furnished,Penthouse,Freehold,"January, 2010",35331143,3 days ago,5,5,Bayan Lepas,https://www.propertyguru.com.my/property-listing/baystar-condominium-for-sale-by-ck-ong-35331143
Apartment For Sale,700 sqft,,,RM 328.57 psf,Unfurnished,Low Floor,Freehold,,35943785,3 days ago,3,2,Ayer Itam,https://www.propertyguru.com.my/property-listing/seri-sempadan-for-sale-by-camillus-chai-35943785
Condominium For Sale,1140 sqft,Ideal Property Group,,RM 576.32 psf,,,Freehold,"July, 2026",35942842,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/lucerne-residences-ideal-city-for-sale-by-tan-xin-yang-35942842
Condominium For Sale,1100 sqft,Hunza Group,,RM 431.82 psf,Unfurnished,Middle Floor,Leasehold,"January, 2001",35917812,3 days ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/marina-bay-condominium-for-sale-by-billion-chin-35917812
Apartment For Sale,750 sqft,,,RM 446.67 psf,Unfurnished,Middle Floor,Freehold,,1465778,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/idaman-lavender-1-apartment-sungai-ara-for-sale-by-suzanne-ooi-1465778
Apartment For Sale,650 sqft,IJM LAND BERHAD,,RM 396.92 psf,Partially Furnished,Middle Floor,Leasehold,"January, 2004",34367624,3 days ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/desa-pinang-1-for-sale-by-suzanne-ooi-34367624
Apartment For Sale,1066 sqft,,,RM 347.09 psf,Partially Furnished,Middle Floor,Leasehold,"January, 1996",33889899,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/mayang-apartment-bayan-baru-for-sale-by-suzanne-ooi-33889899
Condominium For Sale,1110 sqft,,,RM 405.41 psf,,,Freehold,,35643946,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/1-year-no-instalment-0-deposit-near-airport-for-sale-by-harold-lee-35643946
Condominium For Sale,1100 sqft,,,RM 407.27 psf,,,Freehold,,35643942,3 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/12-months-free-instalment-completed-near-airport-for-sale-by-harold-lee-35643942
Service Residence For Sale,1000 sqft,IJM LAND BERHAD,,RM 980.00 psf,,,Leasehold,,35940272,3 days ago,2,2,Jelutong,https://www.propertyguru.com.my/property-listing/maritime-suite-for-sale-by-yonii-tan-35940272
Condominium For Sale,1345 sqft,IJM LAND BERHAD,,RM 631.97 psf,Fully Furnished,,Freehold,"January, 2013",35940032,3 days ago,2,2,Gelugor,https://www.propertyguru.com.my/property-listing/pearl-regency-for-sale-by-eugene-ye-tan-35940032
Condominium For Sale,1723 sqft,Triple Three Properties Sdn Bhd,,RM 597.33 psf,,,Freehold,2021,35936950,4 days ago,4,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/quay-west-residence-for-sale-by-bernice-lim-35936950
Condominium For Sale,1113 sqft,Arte Corp,,RM 592.99 psf,Fully Furnished,High Floor,Leasehold,"April, 2012",35522662,4 days ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/the-oasis-for-sale-by-khor-chiayee-35522662
Apartment For Sale,730 sqft,Aspen,,RM 471.23 psf,,,Freehold,2023,35240351,4 days ago,3,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-carmen-teh-35240351
Condominium For Sale,1100 sqft,,,RM 407.73 psf,,,Freehold,,34829911,4 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/near-batu-maung-free-50k-downpayment-30k-legal-fees-for-sale-by-ms-goh-34829911
Condominium For Sale,1110 sqft,,,RM 403.15 psf,,,Freehold,,35934100,4 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/0-downpayment-bayan-lepas-completed-condo-3big-room-free-cash-back-move-in-now-for-sale-by-ms-goh-35934100
Condominium For Sale,1155 sqft,,,RM 354.98 psf,Partially Furnished,Low Floor,Freehold,2018,34917432,4 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/ramah-pavilion-for-sale-by-camillus-chai-34917432
Condominium For Sale,10000 sqft,City Associates Group,,RM 600.00 psf,,,Freehold,"January, 2013",35925722,4 days ago,5,5,Georgetown,https://www.propertyguru.com.my/property-listing/8-gurney-the-shore-for-sale-by-millie-chew-35925722
Condominium For Sale,950 sqft,Ideal Property Group,,"RM 1,000.00 psf",Unfurnished,,Freehold,2022,35925757,4 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/queens-residences-queens-waterfront-for-sale-by-millie-chew-35925757
Apartment For Sale,850 sqft,IJM Land Berhad,,RM 409.41 psf,Partially Furnished,Middle Floor,Freehold,"January, 1989",35335703,4 days ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/taman-seri-damai-for-sale-by-millie-chew-35335703
Condominium For Sale,1239 sqft,Kay Pride Sdn Bhd (S P Setia Bhd Group),,RM 799.03 psf,Unfurnished,,Freehold,"January, 2021",35388795,4 days ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/setia-sky-ville-jelutong-penang-for-sale-by-mj-zie-35388795
Condominium For Sale,1409 sqft,BSG Property,,RM 762.95 psf,Unfurnished,Low Floor,Freehold,2019,35168333,4 days ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-mj-zie-35168333
Condominium For Sale,925 sqft,IJM LAND BERHAD,,RM 616.22 psf,Fully Furnished,Middle Floor,Leasehold,"January, 2017",35512708,5 days ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/the-spring-for-sale-by-jeremy-tan-35512708
Condominium For Sale,1000 sqft,Modular Plantinum Sdn Bhd,,RM 530.00 psf,Unfurnished,High Floor,Freehold,"January, 2021",35839702,5 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-edwin-ng-35839702
Condominium For Sale,1723 sqft,Triple Three Properties Sdn Bhd,,RM 597.33 psf,,,Freehold,2021,35926961,5 days ago,4,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/quay-west-residence-for-sale-by-bernice-lim-35926961
Condominium For Sale,1655 sqft,Ideal Property Group,,RM 574.02 psf,Fully Furnished,Middle Floor,Freehold,"January, 2014",35909048,5 days ago,5,4,Bayan Lepas,https://www.propertyguru.com.my/property-listing/fiera-vista-for-sale-by-khim-35909048
Condominium For Sale,1723 sqft,Asia Green Group,,RM 597.33 psf,,,Freehold,"March, 2021",35926047,5 days ago,4,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-bernice-lim-35926047
Condominium For Sale,2500 sqft,E & O Berhad,,"RM 1,072.00 psf",Fully Furnished,High Floor,Freehold,"January, 2013",34903687,5 days ago,3,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mj-zie-34903687
Condominium For Sale,2776 sqft,Eastern & Oriental Berhad,,"RM 1,224.78 psf",Fully Furnished,Middle Floor,Freehold,"April, 2017",33485998,5 days ago,3,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mj-zie-33485998
Condominium For Sale,1750 sqft,Ivory Villas Sdn Bhd,,RM 456.57 psf,,Middle Floor,Freehold,"January, 2013",35604031,5 days ago,4,3,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-peak-residences-for-sale-by-jeniffer-goh-35604031
Condominium For Sale,1632 sqft,Eastern & Oriental Berhad,,"RM 1,213.24 psf",Fully Furnished,,Freehold,"April, 2017",35924355,5 days ago,2,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-daniel-koay-35924355
Service Residence For Sale,1840 sqft,GSD Land (M) Sdn Bhd,,RM 434.78 psf,Unfurnished,,Leasehold,,19746854,5 days ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/summerton-bayan-indah-for-sale-by-cane-low-19746854
Condominium For Sale,1494 sqft,Uptrend Housing Development Sdn Bhd (Mah Sing Group Berhad),,RM 432.40 psf,,,Freehold,"January, 2020",35851594,5 days ago,3,3,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/ferringhi-residence-2-for-sale-by-edwin-ong-35851594
Condominium For Sale,700 sqft,Prima Jadi Sdn. Bhd.,,RM 400.00 psf,,,Freehold,"December, 2017",34692815,5 days ago,1,1,Simpang Ampat,https://www.propertyguru.com.my/property-listing/royale-infinity-for-sale-by-edwin-ong-34692815
