property_type,floor_size,developer,land_size,psf,furnishing,floor_level,tenure_type,built_year,listing_id,listing_time,bedroom_count,bathroom_counr,location,propertyguru_url
Bungalow House For Sale,7000 sqft,,6000 sqft,RM 996.67 psf,Partially Furnished,,Freehold,,32683581,4 weeks ago,6,7,Georgetown,https://www.propertyguru.com.my/property-listing/3-storey-bungalow-in-georgetown-for-sale-by-marcus-phuah-32683581
Bungalow House For Sale,4500 sqft,,4550 sqft,RM 659.34 psf,Unfurnished,,Freehold,,32561397,4 weeks ago,5,5,Georgetown,https://www.propertyguru.com.my/property-listing/moonlight-bay-batu-ferringhi-for-sale-by-marcus-phuah-32561397
Bungalow House For Sale,8495 sqft,,11602 sqft,RM 775.73 psf,Unfurnished,,Freehold,,32740992,4 weeks ago,6,6,Pulau Tikus,https://www.propertyguru.com.my/property-listing/double-storey-bungalow-at-pulau-tikus-for-sale-by-marcus-phuah-32740992
Bungalow House For Sale,7000 sqft,,14000 sqft,"RM 1,000.00 psf",Unfurnished,,Freehold,,33713677,4 weeks ago,7,6,Pulau Tikus,https://www.propertyguru.com.my/property-listing/bungalow-for-sale-by-marcus-phuah-33713677
Bungalow House For Sale,4500 sqft,,4150 sqft,RM 674.70 psf,Partially Furnished,,Freehold,,33831435,4 weeks ago,5,6,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/batu-ferringhi-for-sale-by-marcus-phuah-33831435
Bungalow House For Sale,8985 sqft,,14322 sqft,RM 893.73 psf,Partially Furnished,,Freehold,,34551993,4 weeks ago,8,8,Tajung Tokong,https://www.propertyguru.com.my/property-listing/4-storey-bungalow-at-jalan-choong-lye-hin-for-sale-by-marcus-phuah-34551993
Bungalow House For Sale,6043 sqft,,6204 sqft,RM 886.52 psf,Partially Furnished,,Freehold,,34814078,4 weeks ago,6,5,Pulau Tikus,https://www.propertyguru.com.my/property-listing/bungalow-for-sale-by-marcus-phuah-34814078
Bungalow House For Sale,46294 sqft,,63000 sqft,RM 412.70 psf,Unfurnished,,Freehold,,27458090,4 weeks ago,10,8,Greenlane,https://www.propertyguru.com.my/property-listing/jalan-lim-mah-chye-bungalow-land-for-sale-by-billy-teh-27458090
Bungalow House For Sale,9610 sqft,,9610 sqft,"RM 1,040.58 psf",Fully Furnished,,Freehold,,28817923,4 weeks ago,5,5,Tajung Bungah,https://www.propertyguru.com.my/property-listing/seaview-pearl-hill-bungalow-with-private-pool-for-sale-by-billy-teh-28817923
Bungalow House For Sale,5332 sqft,,5685 sqft,"RM 1,090.59 psf",Unfurnished,,Freehold,,33086694,4 weeks ago,6,6,Tanjung Tokong,https://www.propertyguru.com.my/property-listing/e-o-seri-tanjung-pinang-type-skye-corner-bungalow-for-sale-by-billy-teh-33086694
Bungalow House For Sale,9616 sqft,,9616 sqft,"RM 1,039.93 psf",Fully Furnished,,Freehold,,24482360,4 weeks ago,6,5,Tajung Bungah,https://www.propertyguru.com.my/property-listing/pearl-hill-seaview-bungalow-land-for-sale-by-billy-teh-24482360
Bungalow House For Sale,5355 sqft,,4890 sqft,RM 552.15 psf,,,Freehold,,27406937,4 weeks ago,6,7,Bukit Jambul,https://www.propertyguru.com.my/property-listing/vista-jambul-3-storey-bungalow-bukit-jambul-for-sale-by-zhonl-saw-boon-loong-27406937
Bungalow House For Sale,5200 sqft,,7500 sqft,RM 586.67 psf,Partially Furnished,,Freehold,,23176019,4 weeks ago,5,6,Gelugor,https://www.propertyguru.com.my/property-listing/bungalow-house-at-minden-heights-near-gelugor-for-sale-by-dave-soon-23176019
Bungalow House For Sale,6000 sqft,,4500 sqft,"RM 1,222.22 psf",Partially Furnished,,Freehold,,26394950,4 weeks ago,6,6,Tajung Bungah,https://www.propertyguru.com.my/property-listing/springtide-residence-bungalow-villa-at-tanjung-bungah-for-sale-by-dave-soon-26394950
Bungalow House For Sale,6000 sqft,,13637 sqft,RM 307.99 psf,Fully Furnished,,Freehold,,23171687,4 weeks ago,5,5,Tajung Bungah,https://www.propertyguru.com.my/property-listing/bungalow-at-beverly-hills-lorong-tanjung-bungah-la-13637-seaview-for-sale-by-dave-soon-23171687
Bungalow House For Sale,6800 sqft,,9800 sqft,RM 469.39 psf,Partially Furnished,,Freehold,,32985230,4 weeks ago,4,5,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/moonlight-bay-bungalow-villa-for-sale-by-dave-soon-32985230
Bungalow House For Sale,4331 sqft,,2776 sqft,"RM 1,548.99 psf",Partially Furnished,,Freehold,,34816381,4 weeks ago,,0,Tajung Bungah,https://www.propertyguru.com.my/property-listing/permai-garden-bungalow-pool-villa-for-sale-by-dave-soon-34816381
Bungalow House For Sale,8000 sqft,,34853 sqft,RM 803.37 psf,Unfurnished,,Freehold,,32344991,4 weeks ago,5,4,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/beachfront-bungalow-house-at-moonlight-bay-for-sale-by-dave-soon-32344991
Bungalow House For Sale,4200 sqft,BYG Group,7500 sqft,RM 346.67 psf,Unfurnished,,Freehold,"January, 2011",32212864,4 weeks ago,7,6,Simpang Ampat,https://www.propertyguru.com.my/property-listing/dedaun-bungalow-village-for-sale-by-dave-soon-32212864
Bungalow House For Sale,4000 sqft,,4500 sqft,"RM 1,033.33 psf",Partially Furnished,,Freehold,,32312013,4 weeks ago,5,5,Pulau Tikus,https://www.propertyguru.com.my/property-listing/bungalow-office-at-pulau-tikus-for-sale-by-dave-soon-32312013
Bungalow House For Sale,4369 sqft,,6459 sqft,RM 634.77 psf,Unfurnished,,Freehold,,28154726,4 weeks ago,5,6,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/hilltop-villas-bungalow-seaview-batu-ferringhi-for-sale-by-dave-soon-28154726
Bungalow House For Sale,4800 sqft,,5000 sqft,RM 720.00 psf,Partially Furnished,,Freehold,,32985080,4 weeks ago,4,5,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/moonlight-bay-bungalow-for-sale-by-dave-soon-32985080
Bungalow House For Sale,3000 sqft,,18000 sqft,RM 722.22 psf,Unfurnished,,Freehold,,27645752,4 weeks ago,4,3,Balik Pulau,https://www.propertyguru.com.my/property-listing/bungalow-house-at-cantonment-pulau-tikus-near-georgetown-for-sale-by-dave-soon-27645752
Bungalow House For Sale,8000 sqft,,62500 sqft,RM 416.00 psf,Unfurnished,,Freehold,,23480474,4 weeks ago,5,6,Greenlane,https://www.propertyguru.com.my/property-listing/bungalow-house-at-western-road-georgetown-la-62-926-for-sale-by-dave-soon-23480474
Bungalow House For Sale,5144 sqft,,4821 sqft,RM 871.19 psf,Fully Furnished,,Freehold,,31361042,4 weeks ago,5,6,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/4-storey-bungalow-house-at-hilltop-batu-ferringhi-seaview-for-sale-by-dave-soon-31361042
Bungalow House For Sale,3000 sqft,,20400 sqft,RM 480.39 psf,Unfurnished,,Freehold,,28491359,4 weeks ago,4,4,Greenlane,https://www.propertyguru.com.my/property-listing/bungalow-house-at-georgetown-la-20400sf-corner-units-for-sale-by-dave-soon-28491359
Bungalow House For Sale,4000 sqft,,10000 sqft,RM 650.00 psf,Fully Furnished,High Floor,Freehold,2005,30972966,4 weeks ago,5,5,Pulau Tikus,https://www.propertyguru.com.my/property-listing/bungalow-house-casa-grande-at-georgetown-taman-jesselton-near-pulau-tikus-for-sale-by-dave-soon-30972966
Bungalow House For Sale,7000 sqft,,11500 sqft,RM 617.39 psf,Fully Furnished,Middle Floor,Freehold,,28617168,4 weeks ago,6,5,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/bungalow-house-at-batu-ferringhi-miami-green-seaview-for-sale-by-dave-soon-28617168
Bungalow House For Sale,6616 sqft,,10635 sqft,RM 653.50 psf,Partially Furnished,,Freehold,,28138661,4 weeks ago,5,5,Pulau Tikus,https://www.propertyguru.com.my/property-listing/bungalow-house-at-georgetown-near-pulau-tikus-la-10-616sf-for-sale-by-dave-soon-28138661
Bungalow House For Sale,4500 sqft,,9000 sqft,RM 977.78 psf,Partially Furnished,,Freehold,,28133813,4 weeks ago,6,6,Pulau Tikus,https://www.propertyguru.com.my/property-listing/single-storey-bungalow-house-at-georgetown-la-9-000sf-for-sale-by-dave-soon-28133813
Bungalow House For Sale,4200 sqft,,7195 sqft,RM 361.36 psf,Unfurnished,Middle Floor,Freehold,,28162301,4 weeks ago,6,6,Batu Kawan,https://www.propertyguru.com.my/property-listing/bungalow-at-dedaun-bandar-cassia-near-ikea-batu-kawan-la-7-195sf-for-sale-by-dave-soon-28162301
Bungalow House For Sale,5600 sqft,,5600 sqft,RM 964.29 psf,Partially Furnished,,Freehold,,23480603,4 weeks ago,5,7,Tajung Tokong,https://www.propertyguru.com.my/property-listing/e-o-bungalow-house-at-seri-tanjung-pinang-straits-quay-for-sale-by-dave-soon-23480603
Bungalow House For Sale,5300 sqft,,5799 sqft,"RM 1,120.88 psf",Partially Furnished,,Freehold,,25665482,4 weeks ago,6,7,Tajung Tokong,https://www.propertyguru.com.my/property-listing/e-o-bungalow-house-corner-at-seri-tanjung-pinang-straits-quay-for-sale-by-dave-soon-25665482
Bungalow House For Sale,8000 sqft,,7720 sqft,"RM 1,424.87 psf",Partially Furnished,,Freehold,,35307925,4 weeks ago,6,7,Tajung Tokong,https://www.propertyguru.com.my/property-listing/e-o-bungalow-house-at-seri-tanjung-pinang-for-sale-by-dave-soon-35307925
Bungalow House For Sale,12457 sqft,,7319 sqft,"RM 1,748.87 psf",Partially Furnished,,Freehold,,35307938,4 weeks ago,7,10,Tajung Tokong,https://www.propertyguru.com.my/property-listing/e-o-bungalow-house-at-seri-tanjung-pinang-la7-320sf-for-sale-by-dave-soon-35307938
Bungalow House For Sale,5300 sqft,,5200 sqft,"RM 1,250.00 psf",Fully Furnished,,Freehold,2010,23326196,4 weeks ago,6,8,Tajung Tokong,https://www.propertyguru.com.my/property-listing/e-o-bungalow-at-seri-tanjung-pinang-straits-quay-for-sale-by-dave-soon-23326196
Bungalow House For Sale,6500 sqft,,5700 sqft,"RM 1,105.26 psf",Fully Furnished,,Freehold,,24504914,4 weeks ago,6,7,Tajung Tokong,https://www.propertyguru.com.my/property-listing/e-o-bungalow-house-corner-skye-at-seri-tanjung-pinang-tanjung-tokong-for-sale-by-dave-soon-24504914
Bungalow House For Sale,4305 sqft,,8850 sqft,RM 564.97 psf,Partially Furnished,,Freehold,2013,32011045,4 weeks ago,5,4,Tajung Bungah,https://www.propertyguru.com.my/property-listing/bungalow-house-corner-at-tanjung-bungah-hillside-la-8850sf-for-sale-by-dave-soon-32011045
Bungalow House For Sale,3000 sqft,,7800 sqft,RM 506.41 psf,Partially Furnished,,Freehold,,28138409,4 weeks ago,4,3,Tajung Bungah,https://www.propertyguru.com.my/property-listing/bungalow-house-at-tanjung-bungah-near-the-cove-la-7800sf-for-sale-by-dave-soon-28138409
Bungalow House For Sale,4000 sqft,,20500 sqft,RM 429.27 psf,Unfurnished,,Freehold,,30366919,4 weeks ago,5,4,Pulau Tikus,https://www.propertyguru.com.my/property-listing/bungalow-house-at-georgetown-near-pulau-tikus-la-20-500sf-for-sale-by-dave-soon-30366919
Bungalow House For Sale,8000 sqft,,19660 sqft,RM 534.08 psf,Unfurnished,,Freehold,,24087221,4 weeks ago,8,6,Tajung Tokong,https://www.propertyguru.com.my/property-listing/bungalow-house-at-tanjung-tokong-near-straits-quay-la-19-660-for-sale-by-dave-soon-24087221
Bungalow House For Sale,3500 sqft,,3280 sqft,RM 746.95 psf,Partially Furnished,,Leasehold,2007,35563721,4 weeks ago,4,4,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/ferringhi-villa-for-sale-by-dave-soon-35563721
Bungalow House For Sale,2400 sqft,Sunrise Manner Sdn Bhd,3200 sqft,RM 390.62 psf,,,Freehold,2019,35727134,4 weeks ago,4,4,Bukit Mertajam,https://www.propertyguru.com.my/property-listing/hillpark-residences-for-sale-by-lily-ong-35727134
Bungalow House For Sale,1200 sqft,,4100 sqft,RM 263.41 psf,Unfurnished,,,,35198296,4 weeks ago,6,4,Bukit Minyak,https://www.propertyguru.com.my/property-listing/taman-seri-permai-bukit-minyak-for-sale-by-joanne-lim-35198296
Bungalow House For Sale,5522 sqft,PDC Properties Sdn Bhd,5097 sqft,RM 839.71 psf,Fully Furnished,,Freehold,,35726405,4 weeks ago,6,7,Bayan Lepas,https://www.propertyguru.com.my/property-listing/d-residence-for-sale-by-alex-cheah-35726405
Bungalow House For Sale,4000 sqft,PDC Properties Sdn Bhd,4600 sqft,RM 782.61 psf,Fully Furnished,,Freehold,,35726378,4 weeks ago,6,7,Bayan Lepas,https://www.propertyguru.com.my/property-listing/d-residence-for-sale-by-alex-cheah-35726378
Bungalow House For Sale,6000 sqft,,5000 sqft,RM 500.00 psf,Partially Furnished,,Freehold,,35726094,4 weeks ago,8,4,Paya Terubong,https://www.propertyguru.com.my/property-listing/3sty-bungalow-house-emarald-heights-6000sf-renovated-paya-terubong-for-sale-by-edward-lee-35726094
Bungalow House For Sale,,,9828 sqft,RM 457.88 psf,Unfurnished,,Freehold,,35726077,4 weeks ago,5,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/sungai-ara-for-sale-by-jacyntha-lee-35726077
Bungalow House For Sale,5000 sqft,,6000 sqft,RM 583.33 psf,,,,,34812127,4 weeks ago,9,9,Tajung Bungah,https://www.propertyguru.com.my/property-listing/3-5-storey-bungalow-jalan-tanjung-bungah-park-6000sf-tokong-hotel-for-sale-by-swee-xiong-34812127
Bungalow House For Sale,10000 sqft,,6000 sqft,RM 583.33 psf,Fully Furnished,,,,33789073,4 weeks ago,6,7,Ayer Itam,https://www.propertyguru.com.my/property-listing/triple-3-storey-bungalow-emerald-height-10000sf-ayer-itam-farlim-lorong-terubong-ria-terrace-semi-d-for-sale-by-swee-xiong-33789073
Bungalow House For Sale,14000 sqft,,,,,,Freehold,,35725399,4 weeks ago,10,,Tanjung Bungah,https://www.propertyguru.com.my/property-listing/tanjung-bungah-bungalow-for-sale-by-andrew-chen-35725399
Bungalow House For Sale,4000 sqft,,6700 sqft,RM 462.69 psf,,,Freehold,,35724988,4 weeks ago,5,4,Gelugor,https://www.propertyguru.com.my/property-listing/minden-height-bungalow-2-storey-6700sqft-for-sale-by-zhonl-saw-boon-loong-35724988
Bungalow House For Sale,4000 sqft,,6700 sqft,RM 462.69 psf,,,Freehold,,35724907,4 weeks ago,5,4,Gelugor,https://www.propertyguru.com.my/property-listing/minden-height-bungalow-2-storey-6700sqft-for-sale-by-zhonl-saw-boon-loong-35724907
Bungalow House For Sale,3184 sqft,,5856 sqft,RM 204.92 psf,,,Freehold,,35724526,4 weeks ago,6,6,Bertam,https://www.propertyguru.com.my/property-listing/double-storey-bungalow-bertam-lakeside-penang-for-sale-by-zulfaizal-bin-mohamad-royani-faizalmr-35724526
Bungalow House For Sale,5500 sqft,,6500 sqft,RM 476.92 psf,Partially Furnished,,Freehold,,34864385,4 weeks ago,5,5,Bayan Lepas,https://www.propertyguru.com.my/property-listing/bayan-lepas-for-sale-by-cy-ong-34864385
Bungalow House For Sale,5000 sqft,,3414 sqft,RM 790.86 psf,Fully Furnished,,Freehold,,35723587,4 weeks ago,5,5,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-sereno-3sty-bungalow-for-sale-by-mark-tan-35723587
Bungalow House For Sale,3605 sqft,,6074 sqft,RM 699.70 psf,,,,,35723994,4 weeks ago,5,4,Georgetown,https://www.propertyguru.com.my/property-listing/landed-sale-by-hill-top-sea-view-2-storey-bungalow-hill-side-rare-in-market-for-sale-by-nickolas-lim-35723994
Bungalow House For Sale,5000 sqft,,4940 sqft,RM 744.94 psf,,,,,35723980,4 weeks ago,5,6,Georgetown,https://www.propertyguru.com.my/property-listing/landed-sale-3-storey-bungalow-with-underground-space-at-tanjung-bungah-park-for-sale-by-nickolas-lim-35723980
Bungalow House For Sale,4194 sqft,,5401 sqft,RM 759.12 psf,,,Freehold,,28857439,4 weeks ago,6,8,Gelugor,https://www.propertyguru.com.my/property-listing/lintang-minden-minden-height-3-storey-bungalow-for-sale-by-zhonl-saw-boon-loong-28857439
Bungalow House For Sale,8000 sqft,,13800 sqft,RM 397.83 psf,Fully Furnished,,Freehold,,35723536,4 weeks ago,8,6,Tajung Bungah,https://www.propertyguru.com.my/property-listing/urgent-sales-2-sty-cottage-villa-for-sale-by-mark-tan-35723536
Bungalow House For Sale,8800 sqft,,7396 sqft,RM 524.61 psf,Unfurnished,,Freehold,,35723572,4 weeks ago,5,6,Tajung Bungah,https://www.propertyguru.com.my/property-listing/urgent-sales-beverly-hills-bungalow-for-sale-by-mark-tan-35723572
Bungalow House For Sale,4670 sqft,,7600 sqft,RM 450.00 psf,Unfurnished,,Freehold,,35723576,4 weeks ago,6,6,Tajung Bungah,https://www.propertyguru.com.my/property-listing/serious-seller-2-sty-bungalow-at-beverly-hills-for-sale-by-mark-tan-35723576
Bungalow House For Sale,4800 sqft,,5580 sqft,RM 483.87 psf,Partially Furnished,,Freehold,,35723318,4 weeks ago,6,4,Georgetown,https://www.propertyguru.com.my/property-listing/bungalow-gelugor-for-sale-by-xinnee-35723318
Bungalow House For Sale,4000 sqft,,8500 sqft,RM 176.47 psf,,,Freehold,,35723278,4 weeks ago,5,4,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/ferringhi-villa-bungalow-8500sf-batu-ferringhi-for-sale-by-nigel-cheon-35723278
Bungalow House For Sale,5000 sqft,,3100 sqft,RM 903.23 psf,Partially Furnished,,Freehold,,35722541,1 month ago,5,3,Batu Uban,https://www.propertyguru.com.my/property-listing/gelugor-bungalow-for-sale-by-xinnee-35722541
Bungalow House For Sale,2000 sqft,,9000 sqft,RM 311.11 psf,Unfurnished,,Freehold,,32685482,1 month ago,4,2,Georgetown,https://www.propertyguru.com.my/property-listing/urgent-sales-for-sale-by-mark-tan-32685482
Bungalow House For Sale,5500 sqft,,3300 sqft,"RM 1,151.52 psf",Unfurnished,,Freehold,,32596405,1 month ago,6,6,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/moonlight-bay-villa-cassia-biggest-layout-for-sale-by-mark-tan-32596405
Bungalow House For Sale,5000 sqft,,7438 sqft,RM 309.22 psf,,,Freehold,,35500899,1 month ago,4,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/single-storey-bungalow-7000-sqf-land-area-for-sale-by-low-kia-kia-35500899
Bungalow House For Sale,4000 sqft,,7810 sqft,RM 768.25 psf,,,Freehold,,35246370,1 month ago,6,6,Ayer Itam,https://www.propertyguru.com.my/property-listing/2-storey-bungalow-medan-york-taman-dhoby-ghaut-georgetown-for-sale-by-low-kia-kia-35246370
Bungalow House For Sale,1800 sqft,,5786 sqft,RM 311.10 psf,Unfurnished,,Freehold,,35719695,1 month ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/single-storey-bungalow-well-maintained-at-batu-lanchang-penang-for-sale-by-cy-ong-35719695
Bungalow House For Sale,4260 sqft,,9632 sqft,RM 517.03 psf,Unfurnished,,Freehold,,35718778,1 month ago,5,3,Georgetown,https://www.propertyguru.com.my/property-listing/2s-semi-detached-padang-victoria-opposite-crc-land-9632-big-compound-for-sale-by-lilly-35718778
Bungalow House For Sale,8000 sqft,,13800 sqft,RM 398.55 psf,Fully Furnished,,Freehold,,35718683,1 month ago,8,6,Tanjung Bungah,https://www.propertyguru.com.my/property-listing/2s-bungalow-solok-tan-jit-seng-tanjung-bungah-land-13-800-fully-renovated-for-sale-by-lilly-35718683
Bungalow House For Sale,5571 sqft,,6997 sqft,RM 793.20 psf,Unfurnished,,Freehold,,35718546,1 month ago,4,4,Pulau Tikus,https://www.propertyguru.com.my/property-listing/3s-bungalow-lebuhraya-cordrington-pulau-tikus-land-6997-brand-new-unit-for-sale-by-lilly-35718546
Bungalow House For Sale,2160 sqft,Tambun Indah Land Berhad,2798 sqft,RM 278.77 psf,Fully Furnished,,Freehold,2010,35716078,1 month ago,4,4,Simpang Ampat,https://www.propertyguru.com.my/property-listing/pearl-villas-for-sale-by-jack-shim-35716078
Link Bungalow For Sale,6557 sqft,SP Setia Berhad,3300 sqft,RM 503.28 psf,Unfurnished,,Freehold,"October, 2014",31870660,1 month ago,6,5,Bayan Lepas,https://www.propertyguru.com.my/property-listing/35-pearl-villas-for-sale-by-ai-hong-nah-31870660
Bungalow House For Sale,6200 sqft,,8700 sqft,RM 448.28 psf,Partially Furnished,,Freehold,,32473244,1 month ago,6,8,Gelugor,https://www.propertyguru.com.my/property-listing/bukit-gambier-for-sale-by-alisson-chew-32473244
Bungalow House For Sale,1600 sqft,,1600 sqft,RM 568.75 psf,Unfurnished,,Freehold,2011,33398633,1 month ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/fettes-park-for-sale-by-alisson-chew-33398633
Bungalow House For Sale,3000 sqft,,5463 sqft,RM 530.84 psf,Partially Furnished,,Freehold,,35466173,1 month ago,5,4,Tanjung Bungah,https://www.propertyguru.com.my/property-listing/hillside-tanjung-bungah-for-sale-by-lilian-tan-35466173
Bungalow House For Sale,7000 sqft,,10500 sqft,RM 266.67 psf,,,Leasehold,,35713702,1 month ago,8,5,Bukit Jambul,https://www.propertyguru.com.my/property-listing/bungalow-2-5-storey-10500sqft-bukit-jambul-for-sale-by-zhonl-saw-boon-loong-35713702
Zero-Lot Bungalow For Sale,2700 sqft,Sunrise Manner Sdn Bhd,3150 sqft,RM 336.67 psf,Unfurnished,,Freehold,2019,35018056,1 month ago,5,5,Bukit Mertajam,https://www.propertyguru.com.my/property-listing/hillpark-residences-for-sale-by-jeff-koay-35018056
Bungalow House For Sale,7279 sqft,,6714 sqft,RM 893.66 psf,Unfurnished,,Freehold,,35543511,1 month ago,5,5,Pulau Tikus,https://www.propertyguru.com.my/property-listing/pulau-tikus-bungalow-for-sale-by-elaine-ooi-35543511
Bungalow House For Sale,6545 sqft,,,,Fully Furnished,,Freehold,,35710545,1 month ago,7,7,Gelugor,https://www.propertyguru.com.my/property-listing/minden-height-for-sale-by-cayden-choong-35710545
Bungalow House For Sale,3485 sqft,,2400 sqft,"RM 1,208.33 psf",Partially Furnished,,Freehold,,35709929,1 month ago,5,4,Tajung Bungah,https://www.propertyguru.com.my/property-listing/jalan-haji-rafaie-for-sale-by-allen-yeoh-35709929
Bungalow House For Sale,6972 sqft,,10500 sqft,RM 666.67 psf,Fully Furnished,,Freehold,,35709871,1 month ago,6,4,Tajung Bungah,https://www.propertyguru.com.my/property-listing/jalan-haji-rafaie-for-sale-by-allen-yeoh-35709871
Bungalow House For Sale,4000 sqft,,7180 sqft,RM 835.65 psf,Fully Furnished,,Freehold,,35709508,1 month ago,6,6,Georgetown,https://www.propertyguru.com.my/property-listing/medan-york-georgetown-for-sale-by-allen-yeoh-35709508
Bungalow House For Sale,6000 sqft,,6240 sqft,RM 881.41 psf,Unfurnished,,Freehold,,35709446,1 month ago,6,7,Pulau Tikus,https://www.propertyguru.com.my/property-listing/solok-bell-for-sale-by-allen-yeoh-35709446
Bungalow House For Sale,5200 sqft,,7500 sqft,RM 520.00 psf,Partially Furnished,,Freehold,,35709303,1 month ago,5,6,Gelugor,https://www.propertyguru.com.my/property-listing/cangkat-minden-for-sale-by-allen-yeoh-35709303
Bungalow House For Sale,6900 sqft,,8600 sqft,"RM 1,104.65 psf",Partially Furnished,,,,35166790,1 month ago,6,6,Bayan Lepas,https://www.propertyguru.com.my/property-listing/big-garden-3-storey-luxury-bungalow-at-bayan-lepas-worth-buy-for-sale-by-bryan-teng-35166790
Bungalow House For Sale,7170 sqft,Vienna Home Sdn Bhd (Mah Sing Group),8374 sqft,RM 597.09 psf,Fully Furnished,,Freehold,"January, 2014",35707864,1 month ago,6,7,Bayan Lepas,https://www.propertyguru.com.my/property-listing/legenda-southbay-for-sale-by-siang-35707864
Bungalow House For Sale,2300 sqft,,4100 sqft,RM 201.22 psf,Fully Furnished,,Freehold,,35707730,1 month ago,3,3,Balik Pulau,https://www.propertyguru.com.my/property-listing/mukim-7-pulau-betong-balik-pulau-for-sale-by-husna-aziz-35707730
Bungalow House For Sale,3406 sqft,,3617 sqft,RM 414.71 psf,Fully Furnished,,Freehold,,35707615,1 month ago,4,5,Bukit Minyak,https://www.propertyguru.com.my/property-listing/taman-bukit-minyak-permai-bukit-mertajam-for-sale-by-jas-ang-35707615
Bungalow House For Sale,,,4800 sqft,RM 606.25 psf,Fully Furnished,,Freehold,,35621177,1 month ago,5,,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/moonlight-bay-for-sale-by-alisson-chew-35621177
Bungalow House For Sale,3320 sqft,,,,,,,,35703303,1 month ago,5,3,Permatang Pauh,https://www.propertyguru.com.my/property-listing/permatang-pauh-for-sale-by-akmal-rafidi-35703303
Bungalow House For Sale,1600 sqft,,5320 sqft,RM 225.56 psf,Partially Furnished,,Freehold,,34433817,1 month ago,4,3,Georgetown,https://www.propertyguru.com.my/property-listing/jalan-permatang-damar-laut-batu-maung-for-sale-by-caiwei-chew-34433817
Bungalow House For Sale,3000 sqft,,5800 sqft,RM 655.17 psf,,,Freehold,,30503998,1 month ago,6,4,Gelugor,https://www.propertyguru.com.my/property-listing/bungalow-2-storey-park-8-cars-minden-heights-for-sale-by-zhonl-saw-boon-loong-30503998
Bungalow House For Sale,4000 sqft,,5100 sqft,RM 466.67 psf,,,Freehold,,29082399,1 month ago,5,3,Gelugor,https://www.propertyguru.com.my/property-listing/cangkat-minden-jalan-bungalow-house-gelugor-for-sale-by-zhonl-saw-boon-loong-29082399
Bungalow House For Sale,4000 sqft,,5100 sqft,RM 466.67 psf,,,Freehold,,29116969,1 month ago,5,3,Gelugor,https://www.propertyguru.com.my/property-listing/2-storey-bungalow-5100sf-full-reno-minden-heights-for-sale-by-zhonl-saw-boon-loong-29116969
Bungalow House For Sale,2800 sqft,,4000 sqft,RM 300.00 psf,,,Freehold,,33180220,1 month ago,4,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/sungai-ara-bungalow-for-sale-by-zhonl-saw-boon-loong-33180220
Twin Courtyard Villa For Sale,4500 sqft,,,RM 333.33 psf,Unfurnished,,Freehold,2019,30897805,1 month ago,5,5,Ayer Itam,https://www.propertyguru.com.my/property-listing/ul-residence-for-sale-by-lim-eunice-30897805
Bungalow House For Sale,8737 sqft,Metrio Hill Sdn.Bhd.,4704 sqft,"RM 1,289.12 psf",Fully Furnished,,Freehold,2018,35705185,1 month ago,6,7,Gelugor,https://www.propertyguru.com.my/property-listing/beverly-heights-for-sale-by-lim-eunice-35705185
Bungalow House For Sale,8737 sqft,Metrio Hill Sdn.Bhd.,5447 sqft,RM 902.52 psf,Unfurnished,,Freehold,2018,35705171,1 month ago,6,6,Gelugor,https://www.propertyguru.com.my/property-listing/beverly-heights-for-sale-by-lim-eunice-35705171
Link Bungalow For Sale,5000 sqft,,6587 sqft,RM 936.00 psf,Unfurnished,,,,31899552,1 month ago,4,5,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/4-storey-bungalow-hilltop-villas-batu-ferringhi-penang-for-sale-by-chris-teoh-31899552
Bungalow House For Sale,6449 sqft,,6000 sqft,"RM 1,150.00 psf",Fully Furnished,,,,30316294,1 month ago,5,8,Pulau Tikus,https://www.propertyguru.com.my/property-listing/3-storey-bungalow-persiaran-cantonment-pulau-tikus-penang-for-sale-by-chris-teoh-30316294
Bungalow House For Sale,5522 sqft,,5100 sqft,RM 841.18 psf,Fully Furnished,,Freehold,,35703213,1 month ago,6,7,Bayan Lepas,https://www.propertyguru.com.my/property-listing/d-residence-3-storey-bungalow-5100sf-renovated-bayan-lepas-queensbay-for-sale-by-lh-chew-35703213
